"Historical Data"
"From 1998-01-01  to 2019-09-29"
BE0974293251
Date;Open;High;Low;Close;"Number of Shares";"Number of Trades";Turnover
02/10/2017;101;101.4;100.6;101.3;1,218,245;7,497;123,203,595
03/10/2017;101.3;101.9;100.6;101.8;1,002,568;7,620;101,676,088
04/10/2017;102.05;102.75;101.7;102.75;1,493,206;9,129;152,877,252
05/10/2017;103;104.5;102.8;104.4;1,624,785;14,892;168,885,988
06/10/2017;104.55;104.55;103.15;103.6;1,363,601;10,051;141,550,192
09/10/2017;103.95;104.8;103.85;104.5;805,509;6,119;84,131,492
10/10/2017;104.75;105.1;104.25;104.6;988,968;6,833;103,438,815
11/10/2017;104.75;105;104.2;104.75;997,873;7,074;104,515,350
12/10/2017;104.55;105;103.85;104.7;959,429;7,220;100,184,477
13/10/2017;105;106.15;104.8;106.15;1,420,172;9,532;150,037,119
16/10/2017;106;106.4;105.7;106.25;888,116;5,710;94,311,894
17/10/2017;106.5;107.1;106.25;106.65;1,346,083;7,782;143,529,102
18/10/2017;106.6;107.4;106.45;107.2;961,409;6,589;102,910,223
19/10/2017;106.55;106.55;105.3;106.3;1,447,165;10,072;153,285,626
20/10/2017;106.5;107.1;105.8;106.55;1,559,713;7,392;166,254,993
23/10/2017;106.8;107;106.15;106.8;743,766;5,120;79,341,646
24/10/2017;106.75;106.95;104.85;105.6;1,356,017;7,390;143,183,153
25/10/2017;105.4;105.5;102.6;103.05;1,775,000;10,720;184,317,378
26/10/2017;102;102.6;99.76;102.35;3,194,218;21,020;323,921,242
27/10/2017;103.4;104.55;102.7;103.45;2,003,124;13,680;207,777,435
30/10/2017;103.25;103.9;102.6;103.65;1,171,894;7,883;121,193,106
31/10/2017;103.95;105.3;103.7;105.05;1,312,628;8,063;137,604,793
01/11/2017;105.65;105.95;105.1;105.4;1,221,800;8,589;128,926,147
02/11/2017;105.05;105.5;103.5;103.75;1,280,926;8,590;133,484,914
03/11/2017;104.25;105.35;103.8;105.2;1,011,410;7,498;106,084,076
06/11/2017;104.85;105.65;104.65;105.25;815,402;5,624;85,785,853
07/11/2017;104.2;104.55;102.4;102.95;1,839,023;12,651;189,550,434
08/11/2017;102.55;102.75;101.45;101.95;1,816,035;11,309;185,101,461
09/11/2017;101.95;102.4;101.15;101.5;1,228,780;8,617;124,820,414
10/11/2017;101.15;101.4;100.15;100.4;1,631,052;11,177;163,935,948
13/11/2017;101.2;101.65;99.62;100.5;1,621,266;11,282;163,126,479
14/11/2017;99.38;99.66;97.33;97.65;2,178,729;17,965;213,327,311
15/11/2017;97.2;97.61;95.83;96.25;2,042,263;18,046;197,053,245
16/11/2017;97.1;98.41;96.45;97.77;1,665,580;13,253;162,869,149
17/11/2017;97.7;97.95;97.07;97.39;1,304,016;10,830;127,058,789
20/11/2017;97.43;98.31;97.18;98.09;1,181,617;10,660;115,574,303
21/11/2017;98.21;98.53;97.66;98.23;1,318,441;11,742;129,405,251
22/11/2017;98.5;99.39;97.7;97.79;1,185,934;11,839;116,661,164
23/11/2017;97.43;98.76;97.28;98.45;735,906;5,689;72,390,957
24/11/2017;98.72;99.25;98.15;98.39;789,981;8,369;77,891,519
27/11/2017;98.35;98.89;98.13;98.23;845,073;7,450;83,178,644
28/11/2017;98.76;99.55;98.01;99.01;1,077,800;9,685;106,734,059
29/11/2017;99.25;99.43;97.67;97.85;1,460,332;13,362;143,690,990
30/11/2017;97.62;98.83;96.7;96.7;1,906,262;10,282;185,140,539
01/12/2017;96.49;97.3;95.85;96.39;1,770,043;17,700;170,849,919
04/12/2017;97;97.7;96.64;97.53;1,064,427;10,890;103,583,724
05/12/2017;97.01;97.93;96.81;97.04;1,100,201;9,170;107,025,543
06/12/2017;95.5;96.05;94.81;95.64;2,104,482;18,124;200,856,955
07/12/2017;95.74;96.07;94.26;94.75;1,762,336;12,919;167,296,309
08/12/2017;95;95.1;94.1;94.43;1,671,420;15,612;157,943,033
