Name;ISIN;Symbol;Market;"Trading Currency";Open;High;Low;Last;"Last Date/Time";"Time Zone";Volume;Turnover
"AB INBEV";BE0974293251;ABI;"Euronext Brussels";EUR;87.11;87.72;86.66;87.04;27/09/19;CET;1024089;89115019.89
ABATTOIR;BE0946377455;-;"Euronext Expert Market";EUR;47.7;47.7;47.7;47.7;24/01/17;CET;500;23850
"ABO GROUP";BE0974278104;ABO;"Euronext Brussels";EUR;2.3;2.3;2.12;2.12;27/09/19;CET;1156;2564.66
"ACACIA PHARMA";GB00BYWF9Y76;ACPH;"Euronext Brussels";EUR;1.758;1.774;1.7;1.71;27/09/19;CET;162093;282988.704
ACCENTIS;BE0003696102;ACCB;"Euronext Brussels";EUR;0.045;0.045;0.045;0.045;27/09/19;CET;106619;4797.855
"ACKERMANS V.HAAREN";BE0003764785;ACKB;"Euronext Brussels";EUR;140.6;140.9;139.7;139.7;27/09/19;CET;42340;5923535.8
ACVLHO;BE0010012210;-;"Euronext Expert Market";EUR;4500.01;4500.01;4500.01;4500.01;07/07/15;CET;3;13500.03
ADVICENNE;FR0013296746;ADVIC;"Euronext Paris, Brussels";EUR;10.85;10.85;10.75;10.8;27/09/19;CET;325;3518.55
AEDIFICA;BE0003851681;AED;"Euronext Brussels";EUR;107.6;107.8;104.4;104.8;27/09/19;CET;41387;4363647.2
AGEAS;BE0974264930;AGS;"Euronext Brussels";EUR;51;51.14;50.66;51.02;27/09/19;CET;551902;28088620.36
"AGENCE MARIT MINNE";BE0024915838;-;"Euronext Expert Market";EUR;-;-;-;-;-;CET;-;-
AGFA-GEVAERT;BE0003755692;AGFB;"Euronext Brussels";EUR;3.702;3.798;3.696;3.798;27/09/19;CET;280975;1056947.744
"AHOLD DEL";NL0011794037;AD;"Euronext Amsterdam, Brussels";EUR;22.8;23.02;22.745;23.02;27/09/19;CET;2623431;60112755.035
ALIAXIS;BE0941243520;-;"Euronext Expert Market";EUR;17.9;17.9;17.9;17.9;24/09/19;CET;7533;134840.7
"ANS ROCOUR";BE0003243426;-;"Euronext Expert Market";EUR;89.3;89.3;89.3;89.3;21/02/17;CET;31;2768.3
"ANTARES CERT";BE0003676872;ANT;"Euronext Brussels";EUR;39.6;39.6;39.6;39.6;27/09/19;CET;10;396
